stage,index,category,id,file,source_x,source_y,source_w,source_h,width,height,alpha_area
1,1,props,stage01-oracle-bone,props/stage01-oracle-bone.png,656,208,137,228,185,276,21364
1,2,props,stage01-bamboo-slip,props/stage01-bamboo-slip.png,831,214,118,215,166,263,19812
1,3,props,stage01-silk-scroll,props/stage01-silk-scroll.png,960,224,235,190,283,238,31331
1,4,papers,stage01-paper-stack-and-sheets,papers/stage01-paper-stack-and-sheets.png,633,509,338,253,386,301,55303
1,5,papers,stage01-framed-paper-sheet,papers/stage01-framed-paper-sheet.png,991,524,206,227,254,275,32658
2,1,props,stage02-cai-lun,props/stage02-cai-lun.png,1213,37,397,466,445,514,106183
2,2,props,stage02-hemp-fiber-bundle,props/stage02-hemp-fiber-bundle.png,1422,521,182,148,230,196,21053
2,3,props,stage02-bark-bundle,props/stage02-bark-bundle.png,1243,522,135,132,183,180,10409
2,4,props,stage02-rag-cloth-pile,props/stage02-rag-cloth-pile.png,1224,697,177,159,225,207,21128
2,5,props,stage02-fishing-net,props/stage02-fishing-net.png,1422,699,212,173,260,221,25397
3,1,tools,stage03-cutting-knife,tools/stage03-cutting-knife.png,1381,393,238,234,286,282,21594
3,2,props,stage03-rectangular-water-vat,props/stage03-rectangular-water-vat.png,497,637,391,259,439,307,55108
3,3,tools,stage03-wooden-work-board,tools/stage03-wooden-work-board.png,31,667,415,222,463,270,53577
3,4,icons,stage03-bamboo-fiber-diagram,icons/stage03-bamboo-fiber-diagram.png,929,685,201,199,249,247,30911
3,5,props,stage03-bamboo-strips,props/stage03-bamboo-strips.png,1164,700,106,177,154,225,10282
3,6,props,stage03-cotton-fiber-ball,props/stage03-cotton-fiber-ball.png,1464,712,180,158,228,206,21426
3,7,props,stage03-separated-fibers,props/stage03-separated-fibers.png,1312,720,111,151,159,199,10099
4,1,tools,stage04-boiling-cauldron,tools/stage04-boiling-cauldron.png,1370,47,268,287,316,335,38834
4,2,tools,stage04-stone-stove,tools/stage04-stone-stove.png,1138,118,214,220,262,268,41576
4,3,effects,stage04-steam-cloud,effects/stage04-steam-cloud.png,1493,370,144,249,192,297,22786
4,4,effects,stage04-fire-flame,effects/stage04-fire-flame.png,1124,392,174,214,222,262,15148
4,5,effects,stage04-bubble-small,effects/stage04-bubble-small.png,1381,426,52,52,100,100,1046
4,6,effects,stage04-bubble-large,effects/stage04-bubble-large.png,1338,488,63,62,111,110,3087
4,7,props,stage04-boiled-fiber-pot,props/stage04-boiled-fiber-pot.png,369,650,399,275,447,323,94923
4,8,props,stage04-softened-fiber-basket,props/stage04-softened-fiber-basket.png,9,667,343,257,391,305,68642
4,9,props,stage04-impurity-twigs,props/stage04-impurity-twigs.png,795,704,199,162,247,210,18580
4,10,props,stage04-bark-chips,props/stage04-bark-chips.png,1024,712,181,141,229,189,15879
4,11,props,stage04-sand-pile,props/stage04-sand-pile.png,1460,731,170,123,218,171,14793
4,12,props,stage04-stone-grit,props/stage04-stone-grit.png,1251,735,164,136,212,184,13609
5,1,tools,stage05-wooden-mallet,tools/stage05-wooden-mallet.png,1167,68,195,205,243,253,12404
5,2,tools,stage05-stone-mortar,tools/stage05-stone-mortar.png,1392,73,221,176,269,224,30851
5,3,props,stage05-fiber-block,props/stage05-fiber-block.png,1148,343,227,230,275,278,35292
5,4,props,stage05-crushed-fiber-block,props/stage05-crushed-fiber-block.png,1402,368,203,176,251,224,23999
5,5,props,stage05-pulp-vat,props/stage05-pulp-vat.png,1175,593,431,308,479,356,76735
5,6,effects,stage05-floating-fibers-a,effects/stage05-floating-fibers-a.png,47,708,136,180,184,228,12101
5,7,effects,stage05-floating-fibers-b,effects/stage05-floating-fibers-b.png,211,716,183,156,231,204,5777
5,8,effects,stage05-pulp-fragments,effects/stage05-pulp-fragments.png,418,766,158,106,206,154,5222
5,9,effects,stage05-water-splash,effects/stage05-water-splash.png,785,786,168,97,216,145,7915
6,1,props,stage06-water-vat-top,props/stage06-water-vat-top.png,1171,46,436,231,484,279,63842
6,2,tools,stage06-bamboo-screen-front,tools/stage06-bamboo-screen-front.png,1137,279,183,252,231,300,34823
6,3,tools,stage06-bamboo-screen-tilted,tools/stage06-bamboo-screen-tilted.png,1365,289,245,276,293,324,37088
6,4,effects,stage06-water-wash,effects/stage06-water-wash.png,1143,556,222,142,270,190,22427
6,5,effects,stage06-water-ripple-large,effects/stage06-water-ripple-large.png,1381,587,274,100,322,148,21417
6,6,papers,stage06-wet-fiber-mat-on-frame,papers/stage06-wet-fiber-mat-on-frame.png,414,722,231,169,279,217,28047
6,7,papers,stage06-wet-paper-sheet,papers/stage06-wet-paper-sheet.png,697,730,263,164,311,212,36588
6,8,effects,stage06-water-ripple-small,effects/stage06-water-ripple-small.png,1158,767,209,101,257,149,16937
6,9,effects,stage06-water-splash-ripple,effects/stage06-water-splash-ripple.png,1392,773,253,96,301,144,18064
6,10,effects,stage06-water-drops-left,effects/stage06-water-drops-left.png,1017,801,40,61,88,109,1669
6,11,effects,stage06-floating-fiber-petals,effects/stage06-floating-fiber-petals.png,224,812,53,48,101,96,1033
6,12,effects,stage06-water-drops-right,effects/stage06-water-drops-right.png,1069,835,37,51,85,99,1344
7,1,props,stage07-drying-wall-panel,props/stage07-drying-wall-panel.png,1087,72,571,184,619,232,96181
7,2,tools,stage07-bamboo-drying-rack,tools/stage07-bamboo-drying-rack.png,1104,310,522,219,570,267,26784
7,3,papers,stage07-wet-paper-sheet,papers/stage07-wet-paper-sheet.png,1089,578,163,284,211,332,43746
7,4,papers,stage07-half-dry-paper-sheet,papers/stage07-half-dry-paper-sheet.png,1285,578,160,286,208,334,43332
7,5,papers,stage07-dry-paper-sheet,papers/stage07-dry-paper-sheet.png,1481,578,161,286,209,334,43051
7,6,effects,stage07-sunlight-beam,effects/stage07-sunlight-beam.png,42,646,306,247,354,295,40455
7,7,effects,stage07-wind-streaks-a,effects/stage07-wind-streaks-a.png,775,672,222,85,270,133,5578
7,8,effects,stage07-steam-haze,effects/stage07-steam-haze.png,385,685,300,202,348,250,35943
7,9,effects,stage07-wind-leaves-a,effects/stage07-wind-leaves-a.png,861,763,167,39,215,87,1796
7,10,effects,stage07-wind-streaks-b,effects/stage07-wind-streaks-b.png,789,772,164,82,212,130,2883
7,11,effects,stage07-wind-leaves-b,effects/stage07-wind-leaves-b.png,808,817,146,58,194,106,1841
8,1,papers,stage08-single-finished-paper,papers/stage08-single-finished-paper.png,1040,30,218,270,266,318,54499
8,2,papers,stage08-stacked-finished-paper,papers/stage08-stacked-finished-paper.png,1292,50,339,223,387,271,50392
8,3,tools,stage08-paper-cutting-knife,tools/stage08-paper-cutting-knife.png,1126,306,298,119,346,167,16477
8,4,icons,stage08-process-icon-bamboo,icons/stage08-process-icon-bamboo.png,1004,452,121,134,169,182,12677
8,5,icons,stage08-process-icon-soak,icons/stage08-process-icon-soak.png,1401,455,122,133,170,181,12300
8,6,icons,stage08-process-icon-forming,icons/stage08-process-icon-forming.png,1533,456,113,132,161,180,12259
8,7,icons,stage08-process-icon-sun-dry,icons/stage08-process-icon-sun-dry.png,1135,458,117,129,165,177,11979
8,8,icons,stage08-process-icon-stack,icons/stage08-process-icon-stack.png,1270,458,111,129,159,177,11605
8,9,icons,stage08-fiber-weave-diagram,icons/stage08-fiber-weave-diagram.png,804,623,818,288,866,336,235235
8,10,tools,stage08-large-wooden-table,tools/stage08-large-wooden-table.png,28,665,740,203,788,251,120966
9,1,props,stage09-waste-paper-pile,props/stage09-waste-paper-pile.png,1161,56,222,152,270,200,23684
9,2,props,stage09-shredded-paper-pile,props/stage09-shredded-paper-pile.png,1408,57,227,151,275,199,20770
9,3,props,stage09-recycle-bin,props/stage09-recycle-bin.png,1175,265,147,194,195,242,21468
9,4,papers,stage09-recycled-paper-stack-clean,papers/stage09-recycled-paper-stack-clean.png,1329,284,165,166,213,214,18712
9,5,papers,stage09-recycled-paper-stack-speckled,papers/stage09-recycled-paper-stack-speckled.png,1491,284,169,177,217,225,21817
9,6,tools,stage09-water-filter-machine,tools/stage09-water-filter-machine.png,1423,508,232,217,280,265,39266
9,7,tools,stage09-water-treatment-pond,tools/stage09-water-treatment-pond.png,1088,510,317,196,365,244,38296
9,8,tools,stage09-greenhouse-paper-line,tools/stage09-greenhouse-paper-line.png,38,650,477,250,525,298,83103
9,9,tools,stage09-robotic-arm,tools/stage09-robotic-arm.png,598,651,208,238,256,286,24333
9,10,icons,stage09-control-panel,icons/stage09-control-panel.png,1357,757,289,146,337,194,39545
9,11,icons,stage09-sensor-leaf,icons/stage09-sensor-leaf.png,968,762,97,102,145,150,7777
9,12,icons,stage09-sensor-thermometer,icons/stage09-sensor-thermometer.png,1096,762,97,102,145,150,7852
9,13,icons,stage09-sensor-wifi,icons/stage09-sensor-wifi.png,1226,762,96,101,144,149,7734
9,14,icons,stage09-sensor-water,icons/stage09-sensor-water.png,843,764,96,99,144,147,7522
10,1,props,stage10-book-blue-bound,props/stage10-book-blue-bound.png,1514,55,134,136,182,184,12559
10,2,props,stage10-book-dark-blue,props/stage10-book-dark-blue.png,1215,57,136,163,184,211,14855
10,3,props,stage10-book-kraft-bound,props/stage10-book-kraft-bound.png,1363,59,135,157,183,205,15931
10,4,papers,stage10-scroll-bamboo-painting,papers/stage10-scroll-bamboo-painting.png,1203,256,96,209,144,257,16547
10,5,papers,stage10-scroll-landscape,papers/stage10-scroll-landscape.png,1320,264,117,190,165,238,18823
10,6,papers,stage10-scroll-plum-blossom,papers/stage10-scroll-plum-blossom.png,1452,265,97,193,145,241,15199
10,7,papers,stage10-scroll-blank,papers/stage10-scroll-blank.png,1562,274,102,168,150,216,14072
10,8,papers,stage10-final-paper-stack,papers/stage10-final-paper-stack.png,1189,493,163,147,211,195,18388
10,9,papers,stage10-rolled-paper-scroll,papers/stage10-rolled-paper-scroll.png,1521,502,146,141,194,189,12862
10,10,papers,stage10-single-handmade-sheet,papers/stage10-single-handmade-sheet.png,1358,505,158,135,206,183,17746
10,11,effects,stage10-ink-cloud,effects/stage10-ink-cloud.png,957,673,231,239,279,287,36901
10,12,effects,stage10-golden-light-sweep,effects/stage10-golden-light-sweep.png,0,680,948,244,996,292,119516
10,13,effects,stage10-blue-water-splash,effects/stage10-blue-water-splash.png,1264,684,216,226,264,274,33677
10,14,props,stage10-bamboo-decoration,props/stage10-bamboo-decoration.png,1487,691,185,250,233,298,17246
